"","TestY",""
"96776",4879.9,4875.481401174
"96777",4918.7,4902.11860738872
"96778",4973,4996.02228819449
"96779",5212.5,5047.01615886952
"96780",5460.2,5388.70514231719
"96781",5883.2,5775.48331433292
"96782",6398.9,6206.83219862702
"96783",6761,6906.018911127
"96784",7187.1,7155.72884199736
"96785",7492.9,7444.01499895047
"96786",7536.1,7804.88661951279
"96787",7361.3,7562.84383692548
"96788",7075.7,7112.29510318341
"96789",6739.5,6724.70335309648
"96790",6303.3,6386.29042058617
"96791",5984.9,5913.26571948604
"96792",5776.1,5616.40475299344
"96793",5572.6,5623.34959000863
"96794",5460,5455.64437592843
"96795",5403.2,5349.33174702228
"96796",5314.1,5398.86350476691
"96797",5336.2,5291.23779085884
"96798",5382.5,5325.37716632508
"96799",5538.1,5490.64752968243
"96800",5761.2,5670.48892864449
"96801",6067.3,6004.04144584644
"96802",6494.9,6351.13852729793
"96803",6970.7,6874.73027034888
"96804",7316,7425.1494111818
"96805",7320,7661.56046800641
"96806",7321.1,7328.75459490521
"96807",7181,7116.70803013309
"96808",7074,7061.83355998273
"96809",6978.8,6860.13501086807
"96810",6821,6869.13044439184
"96811",6698.3,6667.04782700648
"96812",6422.5,6510.62295889407
"96813",6196.2,6208.37889044098
"96814",5918.9,5875.99962032197
"96815",6035.8,5692.9777497184
"96816",5933.2,5981.88376333594
"96817",5656.3,5610.65526133063
"96818",5473.7,5633.01702035
"96819",5255.1,5587.59390112826
"96820",5044.7,4880.34986919332
"96821",4896.8,4852.69326302582
"96822",4745.7,4770.77787626183
"96823",4685.1,4666.25030976033
"96824",4616.4,4625.37427086535
"96825",4631,4625.3257810362
"96826",4618.9,4634.07011620915
"96827",4687.2,4673.74619745245
"96828",4838.3,4721.15447404724
"96829",5023.8,4993.83077643355
"96830",5183.7,5219.0211120903
"96831",5435.9,5343.58328622132
"96832",5742.2,5607.03540067854
"96833",5995.4,6027.52351199668
"96834",6172.4,6241.92450914554
"96835",6172.3,6301.95394255544
"96836",6093.8,6163.89961112643
"96837",5870.1,5938.60999263023
"96838",5635.4,5661.08378988274
"96839",5361,5348.84645559682
"96840",5154.7,5122.23168608313
"96841",4956.8,4935.6242086752
"96842",4771.9,4822.84962618647
"96843",4627.7,4622.32433796822
"96844",4627.7,4512.1591868862
"96845",4623.3,4625.35262508799
"96846",4750.7,4713.62171287132
"96847",4915.1,4840.33025807646
"96848",5192.7,5131.42294627749
"96849",5504.9,5433.27579564212
"96850",5907.5,5831.40373498612
"96851",6371.5,6249.64701748143
"96852",6722.9,6796.0823068539
"96853",6825.1,7075.63858944446
"96854",6694.9,6902.50002081142
"96855",6522.4,6488.6407049213
"96856",6370,6229.38519864641
"96857",6248,6171.50890880379
"96858",6120.8,6103.79579771977
"96859",5975.5,5987.62249750718
"96860",5847.5,5813.63042205891
"96861",5664.4,5687.19433778221
"96862",5518.8,5499.40826981162
"96863",5624.8,5328.77001212876
"96864",5563.6,5646.86570772446
"96865",5412.8,5675.2253592532
"96866",5253.1,5215.97672540805
"96867",5137,5071.92307909827
"96868",4907.6,5026.38527111685
"96869",4722.8,4775.07890499314
"96870",4562.3,4507.9838125334
"96871",4490.5,4458.32282224463
"96872",4368.2,4436.40990372056
"96873",4346.8,4342.46984380985
"96874",4348.1,4292.85993613048
"96875",4432.2,4410.87630233819
"96876",4495,4505.89912396687
"96877",4587.8,4605.83027638581
"96878",4636.6,4651.79869511958
"96879",4775.5,4704.82972194408
"96880",5026.5,4841.86796304823
"96881",5219.3,5249.33952006996
"96882",5275.8,5448.16428908026
"96883",5232.9,5319.04383543543
"96884",5078,5138.95275098502
"96885",4827.6,4910.73777499756
"96886",4543.8,4569.38898669637
"96887",4261,4252.03631682479
"96888",4036.6,3997.77483011055
"96889",3902.9,3831.45610222924
"96890",3879.5,3802.59282208088
"96891",4025.9,3890.97462670358
"96892",4218.1,4181.75519334336
"96893",4431.6,4481.2548302021
"96894",4612,4656.61237841285
"96895",4877.7,4809.49173556082
"96896",5168.6,5084.90383107485
"96897",5410.7,5471.05854139948
"96898",5736.3,5655.07873727237
"96899",6106.1,5971.1000914127
"96900",6448.4,6450.91569044169
"96901",6511.4,6761.53983215109
"96902",6460.6,6608.47362146239
"96903",6337.7,6276.04871029862
"96904",6210.4,6158.73798101417
"96905",6067.7,6026.75770494219
"96906",5933.5,5907.07216064187
"96907",5756.5,5767.9902614125
"96908",5486.2,5582.29825111125
"96909",5258.8,5222.20187113162
"96910",5050.7,4972.5634044479
"96911",5137.8,4864.03028127684
"96912",5047.8,5124.3622236723
"96913",4905.3,5649.23920022569
"96914",4710.7,4417.96561652344
"96915",4568,4147.09982471863
"96916",4408.5,4665.07915343078
"96917",4249.5,4319.69470422868
"96918",4199.2,4125.07877918309
"96919",4142.3,4150.22449837476
"96920",4159.8,4176.85140773207
"96921",4159.9,4176.37156031032
"96922",4235,4226.87306690459
"96923",4496.4,4290.65093716373
"96924",4779.1,4725.61808492901
"96925",5252.9,5125.36562541562
"96926",5665.3,5626.50742051639
"96927",6034.5,6137.79160201642
"96928",6445,6328.58467775985
"96929",6656.2,6755.16847856351
"96930",6693.7,6900.56694695409
"96931",6654.8,6653.92647511733
"96932",6568.4,6533.81886938319
"96933",6375.8,6449.41902613488
"96934",6137.1,6199.00665000057
"96935",5861.3,5877.40055724724
"96936",5525.7,5602.90926843313
"96937",5212.2,5232.17468984652
"96938",4983.9,4908.98837600267
"96939",4985.7,4784.49899099601
"96940",4956,4982.23084860274
"96941",4953.5,5076.42855685858
"96942",5023.4,4947.79508909727
"96943",5235.4,5097.5014573504
"96944",5471.1,5434.41890002492
"96945",5755.6,5756.15183502757
"96946",6125.4,6009.75276918744
"96947",6565.9,6449.58843643202
"96948",6991.5,6966.81851543977
"96949",7095,7387.99719992756
"96950",7023.5,7246.39809161152
"96951",6863.4,6816.53588436131
"96952",6719.5,6625.48699583269
"96953",6534.8,6507.35178966538
"96954",6320.1,6355.8073060167
"96955",6120.9,6083.05345014707
"96956",5862,5892.00005320745
"96957",5510,5629.44340221298
"96958",5284.6,5172.47363900192
"96959",5346.3,4984.25468239425
"96960",5253.6,5369.998942106
"96961",5088.8,5357.34386350201
"96962",4928.5,4886.57835263471
"96963",4765.8,4757.2964323473
"96964",4634.6,4639.97674764377
"96965",4492.5,4528.32039060987
"96966",4398.4,4410.20430519468
"96967",4374.2,4322.04348161324
"96968",4341.2,4383.74315609826
"96969",4337.1,4376.10385510235
"96970",4431.8,4344.10237834637
"96971",4651.8,4521.08657434936
"96972",4885,4874.11889716671
"96973",5327.8,5158.89596900918
"96974",5835.2,5664.92945739199
"96975",6256.9,6364.12941331025
"96976",6627.2,6673.24553379527
"96977",6658.1,6906.50691500533
"96978",6716.8,6737.43799169105
"96979",6629,6566.52848502719
"96980",6489.3,6589.20265743078
"96981",6159.5,6289.91812222999
"96982",5903.9,5885.85714913334
"96983",5682.1,5553.7634368911
"96984",5564.7,5514.04893646131
"96985",5569.8,5452.43126857603
"96986",5567,5600.37198060574
"96987",5577.4,5641.20442194272
"96988",5572.9,5593.3665569604
"96989",5519.2,5596.74931580488
"96990",5485.9,5496.42409929114
"96991",5594.5,5443.17498248855
"96992",5809.2,5674.72269836763
"96993",6161.8,6050.77624743664
"96994",6529.7,6490.75325760339
"96995",6800.2,6916.31202667522
"96996",7174.6,7063.47631777318
"96997",7152.9,7405.47025872667
"96998",7051.4,7276.70380420917
"96999",6844,6753.27263349879
"97000",6647.6,6618.97043843869
"97001",6431.7,6382.9413976121
"97002",6220.7,6217.66761616741
"97003",6059.6,5988.91625558019
"97004",5771.9,5873.07223265357
"97005",5511,5551.92976453998
"97006",5238,5185.34027237626
"97007",5310.4,4997.89093148558
"97008",5248.3,5256.43418731792
"97009",5085.1,5403.6394228861
"97010",4890.3,4903.34801216219
"97011",4717.1,4685.02688338616
"97012",4490.5,4557.45071199621
"97013",4365.7,4338.39832237357
"97014",4247.8,4223.95385111792
"97015",4192.8,4221.40734220125
"97016",4139.2,4157.73339549643
"97017",4131.2,4151.09500833037
"97018",4196.1,4136.82288155427
"97019",4348.1,4276.97413038475
"97020",4602.7,4510.52818225841
"97021",5059.9,4852.17427901428
"97022",5537.4,5459.41867915412
"97023",5982.7,6051.28068639799
"97024",6379.7,6383.66521806116
"97025",6517.2,6710.76791102978
"97026",6747.5,6670.00916298009
"97027",6756.8,6770.45429795192
"97028",6545.2,6856.64961906528
"97029",6568.2,6293.06637302763
"97030",6529.3,6394.03412623446
"97031",6465.6,6623.04148345254
"97032",6487.4,6379.48823364521
"97033",6453.9,6467.99859879293
"97034",6317.2,6487.32582078869
"97035",6225.5,6206.19289291973
"97036",6129.3,6090.53264317686
"97037",5951.5,6083.11443155635
"97038",5831,5832.23197927399
"97039",5828.2,5682.84819226601
"97040",5947.1,5835.39430869557
"97041",6232.9,6087.14344473138
"97042",6578.1,6502.69951640931
"97043",6842.4,6946.94044035121
"97044",7148.4,7118.08011677142
"97045",7175.9,7345.85956091332
"97046",7039.9,7277.3698913469
"97047",6825,6796.00561989976
"97048",6621.9,6543.03615860292
"97049",6477.2,6365.27513888894
"97050",6288.4,6303.66276865088
"97051",6051,6129.86595892747
"97052",5786.5,5800.80815975149
"97053",5458,5507.92585964634
"97054",5283.6,5150.4185859769
"97055",5387.4,5035.71931898789
"97056",5264.3,5465.12322757476
"97057",5046.3,5358.14563186366
"97058",4860.5,4767.58067418112
"97059",4621.5,4648.2223678822
"97060",4425.4,4458.79625402957
"97061",4335.7,4234.52215675573
"97062",4237,4272.99789546645
"97063",4117,4234.46814596507
"97064",4011.5,4041.28934020873
"97065",4069.6,3931.61207643217
"97066",4155.8,4106.44834587037
"97067",4374.9,4328.89620345282
"97068",4611.3,4559.97568646892
"97069",5082.1,4892.6396814821
"97070",5518.8,5440.54606883592
"97071",5944.2,6028.78238831247
"97072",6329.9,6293.94462006231
"97073",6496.3,6659.4644532308
"97074",6329.5,6667.37092726862
"97075",6090.9,6148.74746974183
"97076",5757.3,5715.4945216257
"97077",5231.7,5442.56206445359
"97078",5187.9,4769.91975682321
"97079",4938.4,4910.00838475019
"97080",4823.6,5027.91753266353
"97081",4883.9,4586.48690842843
"97082",4908.2,4967.33589846774
"97083",5031.3,5045.00529141549
"97084",5068,5110.42261091166
"97085",4975.4,5195.30320262257
