"","x"
"604",8710.75943004127
"605",8786.78059113174
"606",9040.13773233841
"607",9046.37192915208
"608",9011.2759866176
"609",9038.37683452255
"610",9050.82003049466
"611",9015.99086897684
"612",8452.04574968964
"613",8056.2088310859
"614",7795.29258254224
"615",7748.12266392828
"616",7409.0263665104
"617",7364.50226563466
"618",7213.61804903929
"619",6916.09784897911
"620",6419.96227025863
"621",6024.1932110244
"622",5660.8370930543
"623",5611.66442036848
"624",5870.16973565335
"625",5317.61419191201
"626",4869.93858189809
"627",4657.13247912837
"628",4661.93985652369
"629",4342.38194825252
"630",4278.21266121748
"631",4210.99946935029
"632",4265.78069102282
"633",4229.66846424804
"634",4388.16398161193
"635",4528.539328598
"636",4963.45006708469
"637",5105.3548628673
"638",5400.72017773348
"639",5580.95922840957
"640",5473.85487282256
"641",5530.07006093784
"642",5634.97558244073
"643",5535.71755469749
"644",5571.96101053446
"645",5518.32799155537
"646",5532.61878335578
"647",5494.0364075509
"648",5462.65571731526
"649",5463.1159549343
"650",5411.27361154143
"651",5350.73264426276
"652",5480.45224407593
"653",5398.05755783873
"654",5274.59344657789
"655",5391.95490683266
"656",5196.62816505365
"657",5189.46227783111
"658",5185.2375038735
"659",5185.63067605375
"660",4988.45633340146
"661",4962.79091133371
"662",4825.26133415395
"663",4911.35823129617
"664",4846.73508565462
"665",4841.84277010038
"666",4779.84332086325
"667",4634.85479705395
"668",4414.6948890841
"669",4241.22158114959
"670",4277.1453151818
"671",4347.10139065703
"672",4798.83925824853
"673",4639.10806721077
"674",4232.00697831007
"675",4156.08527630831
"676",4050.85539727858
"677",3853.7387139064
"678",3851.41595174796
"679",3733.2807752594
"680",3963.56428767552
"681",3984.92125067872
"682",4148.86301582192
"683",4266.65771894666
"684",4666.39209253036
"685",4813.51851673279
"686",5284.87492472499
"687",5374.0024752953
"688",5218.60995578005
"689",5278.71546030077
"690",5233.45775074819
"691",5145.50483359365
"692",5163.9303207677
"693",5093.65275221365
"694",5135.39986870862
"695",5161.1016713651
"696",5176.70387216556
"697",5118.50760432016
"698",5075.63642715483
"699",5114.36188598314
"700",5035.22298198985
"701",5038.27493809631
"702",5030.81549351524
"703",5053.03639861898
"704",4940.46021747301
"705",4990.85455313109
"706",4989.52705195235
"707",4981.20806704168
"708",4869.15158806638
"709",4849.00334616538
"710",4734.12095077213
"711",4710.39601063273
"712",4675.50940490049
"713",4682.04587059942
"714",4754.41230968682
"715",4670.11475549843
"716",4382.6099653826
"717",4227.05847380716
"718",4287.1631883637
"719",4232.50454765293
"720",4688.2239892533
"721",4069.87484319709
"722",4436.81268126616
"723",3995.69667248308
"724",3974.42328097727
"725",3780.49261917686
"726",3731.07015481989
"727",3650.17449302363
"728",3756.07906369019
"729",3762.83764013457
"730",3863.89110739322
"731",3888.89167433607
"732",3959.89270849415
"733",3985.99502781792
"734",4268.8790884979
"735",4385.00458665935
"736",4282.25591980374
"737",4385.21493703575
"738",4463.80164296453
"739",4435.47372018284
"740",4377.13174775856
"741",4342.23759007338
"742",4321.53000085478
"743",4268.85302348695
"744",4257.73005507371
"745",4282.83500278048
"746",4199.33679337876
"747",4215.946530707
"748",4277.86141090527
"749",4288.8879859024
"750",4377.45280199362
"751",4440.66018731062
"752",4548.54135135888
"753",4676.88728576373
"754",4712.91395736988
"755",4821.153718728
"756",4793.38492150032
"757",4735.37719279325
"758",4612.18373069152
"759",4596.77984558996
"760",4488.93264063952
"761",4544.11143819378
"762",4625.16440548139
"763",4508.13750638409
"764",4340.69555777701
"765",4137.54058479569
"766",4152.49554666765
"767",4207.6044690732
"768",4733.43473182906
"769",4610.79508462127
"770",4191.69886697813
"771",4023.13052366182
"772",3883.24451799904
"773",3792.7452613969
"774",3753.72181875114
"775",3692.50436050632
"776",3714.29270163847
"777",3689.46630749763
"778",3726.37816522402
"779",3780.67302855463
"780",3776.52239693784
"781",3746.1366858262
"782",3855.50480849129
"783",3939.06993135339
"784",3897.79028904029
"785",4117.56803630591
"786",4207.80357192528
"787",4282.85587959598
"788",4261.4962577314
"789",4356.44055710796
"790",4499.41235249726
"791",4608.94925677036
"792",4628.22488844081
"793",4711.92810504228
"794",4790.70194369632
"795",4912.51657270192
"796",4996.57419811483
"797",5171.33176476221
"798",5275.63914981478
"799",5497.17002983208
"800",5702.3160453829
"801",5911.41113166879
"802",6003.26490710993
"803",6172.64060785917
"804",6240.37837998059
"805",6242.78598919566
"806",6120.08019318292
"807",6007.96044311562
"808",5740.81929366725
"809",5651.90244101133
"810",5636.06912723603
"811",5428.54321578854
"812",5036.56356974651
"813",4808.44884687785
"814",4711.05033415219
"815",4690.18282749442
"816",5085.95890941021
"817",5347.2056592893
"818",4150.81177019507
"819",4349.87914185869
"820",4197.51521299017
"821",4133.72496974246
"822",4079.305896053
"823",4099.26572110367
"824",4101.01700518207
"825",4169.54702737967
"826",4355.92936433856
"827",4535.78064722613
"828",4925.6254068301
"829",5103.27592990672
"830",5547.74649263427
"831",5800.70735511317
"832",5843.27767471846
"833",6077.85702005196
"834",6217.26149012521
"835",6215.71250300566
"836",6323.07563677115
"837",6473.81942394771
"838",6715.66509869136
"839",6865.55047323784
"840",6979.17048978485
"841",7195.44913390197
"842",7389.0936724357
"843",7445.260333677
"844",7638.47732069249
"845",7842.60183817002
"846",7977.24252212721
"847",8146.50334485962
"848",8202.19095127326
"849",8377.51103972512
"850",8317.45381093032
"851",8167.59141486139
"852",7771.15444721238
"853",7425.81932837647
"854",7185.8882558063
"855",6765.93161900803
"856",6463.2355823992
"857",6253.34728814497
"858",6176.04357111284
"859",5844.43438896412
"860",5487.0687606564
"861",5200.61344117807
"862",5085.20294644978
"863",5131.63389442787
"864",5509.35582716363
"865",5237.21991593335
"866",4812.7755981466
"867",4681.07476290617
"868",4629.11164908596
"869",4509.39101971761
"870",4445.27641807886
"871",4418.37554544665
"872",4479.32434232772
