"","x"
"388",4007.19631011611
"389",3816.93626318212
"390",3851.36275548419
"391",3732.20317421942
"392",3798.44930280808
"393",3764.68870376678
"394",3887.2420723175
"395",3818.06604420198
"396",3937.25997151691
"397",3988.5344182043
"398",4166.60613893327
"399",4285.6607639293
"400",4267.41933131496
"401",4428.17160178447
"402",4471.7352795908
"403",4514.72072817855
"404",4525.00352054053
"405",4479.72937933228
"406",4426.99711339079
"407",4421.29597871439
"408",4366.94619366272
"409",4387.4171833048
"410",4375.49453262605
"411",4326.29518568476
"412",4443.91544977228
"413",4443.45387551506
"414",4564.63933107691
"415",4642.01476190362
"416",4772.19358870452
"417",4847.00994268066
"418",4906.07908384288
"419",5005.39194556071
"420",5026.16593433658
"421",4970.02965503808
"422",4883.41969420837
"423",4775.27229459826
"424",4697.07170019695
"425",4650.13947187537
"426",4780.98184429748
"427",4591.11853486737
"428",4419.89911685142
"429",4269.82986390941
"430",4253.29234557899
"431",4270.3288829083
"432",4741.23405529409
"433",4471.69754752558
"434",4079.38478398718
"435",3946.76530728372
"436",3897.45669196297
"437",3732.26730393165
"438",3674.89142144391
"439",3639.75352409838
"440",3665.69934140042
"441",3646.4474140075
"442",3703.58846918657
"443",3764.04862022172
"444",3823.72604183196
"445",3795.17928094815
"446",3961.06374135631
"447",4015.13574439571
"448",3941.2445417165
"449",4100.61359150944
"450",4192.93918129156
"451",4253.8298613145
"452",4350.90317903022
"453",4367.58468867895
"454",4416.9501387078
"455",4511.8015534587
"456",4585.04805989721
"457",4658.91010253261
"458",4769.91040925827
"459",4914.64411190257
"460",5055.43147877743
"461",5226.03054742277
"462",5371.73612558049
"463",5546.29097918418
"464",5752.1958812013
"465",5920.35870375227
"466",6013.06317093644
"467",6209.96935434161
"468",6179.17928133989
"469",6060.82341696323
"470",5802.14788674355
"471",5674.97944896912
"472",5479.4264592685
"473",5413.07969888766
"474",5441.3161473685
"475",5244.60150308717
"476",5011.33535555934
"477",4760.84072127002
"478",4687.38098384279
"479",4640.07558436419
"480",5110.78630681684
"481",5344.56343808052
"482",4132.03558759323
"483",4335.21209933942
"484",4215.30208959822
"485",4173.31494039695
"486",4134.082576423
"487",4114.04670847043
"488",4146.01664293972
"489",4198.43078455641
"490",4367.88010239919
"491",4511.14774271127
"492",4746.13816308756
"493",5014.60195790688
"494",5410.93529383445
"495",5638.38469798705
"496",5631.1700789458
"497",5938.70378664086
"498",6106.36224442147
"499",6166.24729872243
"500",6335.25966333315
"501",6364.15149169558
"502",6670.29486606841
"503",7048.74914802999
"504",7088.57522061079
"505",7147.39111573147
"506",7420.73723836755
"507",7554.86092226918
"508",7644.45805828116
"509",7923.874871163
"510",7965.97678052235
"511",8157.01612608553
"512",7757.5754106602
"513",7185.63349445039
"514",7087.67203238107
"515",6956.11519104561
"516",6625.39585920493
"517",6394.06971993029
"518",6145.41214699843
"519",5906.0057478571
"520",5779.52348600064
"521",5616.99134722319
"522",5627.13321879168
"523",5341.46267603828
"524",4973.26764263357
"525",4773.84027611738
"526",4659.10592501665
"527",4782.73432784293
"528",5241.12381974202
"529",4954.47249274495
"530",4537.42682911909
"531",4455.24205023878
"532",4324.16002301524
"533",4235.32483198637
"534",4226.08585247234
"535",4131.47980106273
"536",4257.01478426994
"537",4264.69243100244
"538",4429.03263913632
"539",4481.53850430233
"540",4810.43675448965
"541",4978.7810928762
"542",5393.37694229727
"543",5545.53887957427
"544",5538.27430479421
"545",5665.75295444473
"546",5675.5014707762
"547",5682.60725296051
"548",5803.7907726607
"549",5754.42197849759
"550",5829.39215967405
"551",5939.00369736625
"552",6045.74448025022
"553",6027.72534302315
"554",6212.11583088475
"555",6152.51565720288
"556",6411.86196667166
"557",6506.62573120877
"558",6627.92669619324
"559",6669.48488615474
"560",6882.85166963769
"561",7025.87538950109
"562",7058.29606568664
"563",7045.83281976996
"564",6812.27543259737
"565",6691.72308828113
"566",6502.98125421412
"567",6272.92470745854
"568",6078.40348638403
"569",5935.88261324263
"570",5896.24988652844
"571",5675.88225876972
"572",5297.60542280155
"573",4999.63507358218
"574",4867.88705067954
"575",4825.28468858183
"576",5289.28018926839
"577",5005.00558514228
"578",4579.71375554671
"579",4413.96263075754
"580",4324.27075853407
"581",4193.96022387863
"582",4135.23883838865
"583",4159.21010722436
"584",4228.80888102067
"585",4251.30849520068
"586",4435.39183751604
"587",4629.3749875454
"588",4906.93668504801
"589",5161.4365148386
"590",5502.5830694884
"591",5761.09491969488
"592",5897.22567001427
"593",6006.44587920499
"594",6356.57802943418
"595",6436.03696273225
"596",6783.75675137951
"597",6805.60078541463
"598",7211.36599353519
"599",7568.89641965305
"600",7797.24588709114
"601",7967.23119362003
"602",8258.1525969787
"603",8289.63730667202
"604",8713.33908513742
"605",8789.59657182453
"606",9043.64211706834
"607",9050.01344740406
"608",9015.14240050856
"609",9042.44555145431
"610",9055.12310993672
"611",9020.23085672323
"612",8455.51463457943
"613",8059.19084252606
"614",7798.15895156343
"615",7750.91176036291
"616",7411.30894184798
"617",7366.62757215005
"618",7215.50603747625
"619",6917.37561328078
"620",6420.59168309535
"621",6024.36652167794
"622",5660.78873899005
"623",5611.80085297714
"624",5870.95644307711
"625",5317.53773540432
"626",4869.5492534965
"627",4656.8705793568
"628",4662.08313609779
"629",4342.23738420125
"630",4278.26594285863
"631",4211.10211997873
"632",4266.04912307218
"633",4229.79549688285
"634",4388.4304906999
"635",4528.72393650853
"636",4963.96206409521
"637",5105.49111764611
"638",5400.80816773848
"639",5580.71790056464
"640",5472.94335309181
"641",5528.84590765007
"642",5633.64346092993
"643",5533.88497711481
"644",5570.10396730899
"645",5516.26712760471
"646",5530.67802202193
"647",5492.10790089567
"648",5460.95523317961
"649",5461.66932916163
"650",5410.15668405369
"651",5349.88354987271
"652",5480.31475307543
"653",5398.11083605581
"654",5274.92196354637
"655",5392.8445816157
"656",5197.55152346549
"657",5190.6334055271
"658",5186.66813292769
"659",5187.10578867655
"660",4989.69379076379
"661",4963.97341120157
"662",4826.21276816806
"663",4912.31645081951
"664",4847.43208592718
"665",4842.3107717736
"666",4780.05606889984
"667",4634.67275835635
"668",4414.12743734744
"669",4240.41873244633
"670",4276.49844773359
"671",4346.60907726549
"672",4799.06895599723
"673",4638.97139783912
"674",4231.32146517317
"675",4155.64124182925
"676",4050.50900101949
"677",3853.32106711177
"678",3851.22382420528
"679",3733.0254058716
"680",3963.7277120424
"681",3984.981266112
"682",4148.97640659495
"683",4266.65998593781
"684",4666.64127059684
"685",4813.44904076466
"686",5285.01058032222
"687",5373.61520473575
"688",5217.45807486906
"689",5277.31843279294
"690",5231.71199999553
"691",5143.37307971433
"692",5161.76733174921
"693",5091.2914803172
"694",5133.21117017198
"695",5159.03042650781
"696",5174.89222061831
"697",5116.83352210594
"698",5074.31175974314
"699",5113.47476181355
"700",5034.67270773469
"701",5038.13316018852
"702",5031.12908660405
"703",5053.70659977074
"704",4941.30707633056
"705",4992.02474240117
"706",4990.90775796465
"707",4982.61699639818
"708",4870.44200998658
"709",4850.22127697513
"710",4735.1106083032
"711",4711.22030455249
"712",4676.15378290491
"713",4682.50174825128
"714",4754.80709878879
"715",4670.15374596606
"716",4382.09576414812
"717",4226.35057524189
"718",4286.65083660087
"719",4231.93980253187
"720",4688.44806605068
"721",4079.10517955977
"722",4431.94872289764
"723",3996.13783895958
"724",3974.69001969278
"725",3781.0545716778
"726",3731.43178461121
"727",3650.84914342394
"728",3756.71433146595
"729",3763.62896488852
"730",3864.48044624718
"731",3889.4413206077
"732",3960.10094971986
"733",3986.0150025035
"734",4268.84890830041
"735",4384.7378013936
"736",4281.27506452618
"737",4384.12323185361
"738",4462.45956939075
"739",4433.83375378416
"740",4375.22351647318
"741",4340.25480424728
"742",4319.56904889108
"743",4266.95816610237
"744",4256.06594323465
"745",4281.51167644254
"746",4198.24003247449
"747",4215.29345987059
"748",4277.74902494883
"749",4289.16807742962
"750",4378.2713743075
"751",4441.87533233746
"752",4550.19640243855
"753",4678.89341833675
"754",4715.06631254462
"755",4823.4855422626
"756",4795.63108549776
"757",4737.43422288837
"758",4613.97475863049
"759",4598.43244673548
"760",4490.28153014949
"761",4545.38660677853
"762",4626.38353708025
"763",4508.94134356825
"764",4341.14454278137
"765",4137.67324192352
"766",4152.7494011812
"767",4208.00287348068
"768",4734.68840732956
"769",4611.70617719909
"770",4192.02117141544
"771",4023.53721988405
