"","V1"
"96668",6199.94220357236
"96669",5832.78027025462
"96670",5571.68756147893
"96671",5415.58723355664
"96672",5681.04325029383
"96673",5503.06350781162
"96674",5278.29743149469
"96675",5138.13593528518
"96676",4933.68957569165
"96677",4807.16474623514
"96678",4659.18289465761
"96679",4597.32934692171
"96680",4607.50886375482
"96681",4649.89552911019
"96682",4581.19885270476
"96683",4799.27335989291
"96684",5044.37818224244
"96685",5298.16506973617
"96686",5842.90637686271
"96687",6161.54118857893
"96688",6401.31882758936
"96689",6727.16113810042
"96690",6916.33266139707
"96691",6775.27310140799
"96692",6614.4919806883
"96693",6309.88205807018
"96694",6175.7536078929
"96695",5886.39234185968
"96696",5662.35430934993
"96697",5504.00434964832
"96698",5440.3742008682
"96699",5459.15494913202
"96700",5841.13080655721
"96701",5971.27774779689
"96702",5970.07314997356
"96703",6074.45821524769
"96704",6227.17802988477
"96705",6435.4779920346
"96706",6523.05624836874
"96707",6995.59980366141
"96708",7278.21019315675
"96709",7448.29619888853
"96710",7270.5389800783
"96711",7102.4821359937
"96712",6916.61226331619
"96713",6835.64864270247
"96714",6581.33867740423
"96715",6404.84157435937
"96716",6299.23029549593
"96717",6051.52924948125
"96718",5694.66734474517
"96719",5487.2734435661
"96720",5797.53658554097
"96721",5544.22925408112
"96722",5279.11742566669
"96723",5198.1049196522
"96724",5008.35945775217
"96725",4873.77643824933
"96726",4825.6790320171
"96727",4752.23816087526
"96728",4730.80487146647
"96729",4750.27215439719
"96730",4823.472783897
"96731",4907.55000072488
"96732",5169.28627223191
"96733",5479.44462467439
"96734",5984.62743779957
"96735",6478.53609115122
"96736",6770.79936271275
"96737",7148.63380660444
"96738",7352.76927457878
"96739",7150.32832187522
"96740",6893.80853726424
"96741",6496.06605732329
"96742",6135.42282302475
"96743",5880.82768905914
"96744",5607.00697251188
"96745",5520.26506664185
"96746",5468.95149635784
"96747",5444.10993550034
"96748",5549.67996520169
"96749",5603.75727155605
"96750",5602.78101317792
"96751",5878.22172887795
"96752",6101.40697091969
"96753",6381.05042020164
"96754",6666.36594825067
"96755",7081.01208188704
"96756",7434.46682191432
"96757",7755.08534579032
"96758",7668.20032083254
"96759",7483.74944586019
"96760",7347.69275751275
"96761",7209.60295313907
"96762",6948.96428096367
"96763",6840.17515739848
"96764",6523.19849391267
"96765",6292.96154029133
"96766",5987.85939606882
"96767",5772.59748363652
"96768",5963.79945039636
"96769",5731.96726412023
"96770",5470.58955096643
"96771",5263.86377057368
"96772",5171.55061660464
"96773",4965.04511649389
"96774",4899.04896291882
"96775",4886.18444364625
"96776",4858.58928646299
"96777",4916.17832683781
"96778",4978.17699921081
"96779",5044.91294310325
"96780",5391.49207093628
"96781",5634.52496317829
"96782",6146.55030514536
"96783",6694.95367669364
