"","V1"
"96821",4870.18339041613
"96822",4779.00483482352
"96823",4644.15143068244
"96824",4652.71955969844
"96825",4591.43040468207
"96826",4664.14946984551
"96827",4641.34537579336
"96828",4758.91992196299
"96829",4955.00974113958
"96830",5152.16056619225
"96831",5285.9656746825
"96832",5579.30947255834
"96833",5900.34533985781
"96834",6104.37695178086
"96835",6221.41056951933
"96836",6107.36392347742
"96837",5979.98401280609
"96838",5673.9670754125
"96839",5441.75684524622
"96840",5155.93620513999
"96841",5003.68384026243
"96842",4824.63096024392
"96843",4662.19517637746
"96844",4556.61128037403
"96845",4653.19394612071
"96846",4653.88688310253
"96847",4863.56729116515
"96848",5048.88953789614
"96849",5387.44880379635
"96850",5708.43384982793
"96851",6147.69567412936
"96852",6625.35954190305
"96853",6885.47814399068
"96854",6820.07168086866
"96855",6539.86447317722
"96856",6334.44783891331
"96857",6186.20441870908
"96858",6073.84792258856
"96859",5935.77572644376
"96860",5774.20844799345
"96861",5653.3783656858
"96862",5438.06109611644
"96863",5318.70937246939
"96864",5575.67381690501
"96865",5418.29862401386
"96866",5225.27395112338
"96867",5075.60577165528
"96868",5001.87031844871
"96869",4724.2021585766
"96870",4586.64645240965
"96871",4459.68366695942
"96872",4456.44647054082
"96873",4317.71073814788
"96874",4366.69004797789
"96875",4387.11980148981
"96876",4521.41447852581
"96877",4568.87971989517
"96878",4674.31547460603
"96879",4690.13917514082
"96880",4873.32212331965
"96881",5176.85025789401
"96882",5319.78020320713
"96883",5284.23100201189
"96884",5176.77112470456
"96885",4955.43914864935
"96886",4654.31212383974
"96887",4361.25380850265
"96888",4092.39129175233
"96889",3916.87018367938
"96890",3850.053494041
"96891",3902.55638694825
"96892",4155.47490053385
"96893",4376.49403140892
"96894",4602.42054325233
"96895",4761.99046306109
"96896",5074.35459920952
"96897",5371.80874528739
"96898",5574.36351856132
"96899",5935.47510648946
"96900",6312.14393224546
"96901",6615.77896461334
"96902",6494.32158634882
"96903",6363.22085835119
"96904",6187.27301400943
"96905",6048.2043331225
"96906",5887.94811154558
"96907",5751.62773448994
"96908",5544.52865078854
"96909",5219.20696752744
"96910",5021.49030822263
"96911",4830.99412348842
"96912",5096.60936526546
"96913",5401.6768712086
"96914",4458.4772975364
"96915",4553.07838118828
"96916",4458.94709631986
"96917",4307.70311444709
"96918",4167.97447049244
"96919",4198.74316055496
"96920",4151.46128893118
"96921",4223.73654877563
"96922",4220.90912042103
"96923",4344.4049710994
"96924",4712.62368369087
"96925",4997.60597095264
"96926",5568.03848185514
"96927",5922.67922521965
"96928",6245.50823863166
"96929",6658.96976652216
