"","V1"
"97160",4088.03373335847
"97161",3998.43711948482
"97162",4037.68964020941
"97163",3977.11288168216
"97164",4121.62441837555
"97165",4368.46413771839
"97166",4527.27605383661
"97167",4763.54183411357
"97168",4764.06879821102
"97169",5029.40880237282
"97170",5380.27056717167
"97171",5452.01310254227
"97172",5643.05561079859
"97173",5725.41493812949
"97174",5541.79029717481
"97175",5397.45083309575
"97176",5527.3235378417
"97177",5550.93814166936
"97178",5348.08360511783
"97179",5421.80341809936
"97180",5326.77236406894
"97181",5469.11991067929
"97182",5721.603749207
"97183",5602.03890039931
"97184",5693.54297499768
"97185",5930.38161455553
"97186",6005.74075687846
"97187",6049.48516899271
"97188",6323.46182979173
"97189",6727.11733715132
"97190",6620.25675381775
"97191",6137.14381675963
"97192",5952.3423073871
"97193",5778.18373110191
"97194",5697.46992213518
"97195",5523.79205970253
"97196",5396.24806449954
"97197",5290.54820196529
"97198",5017.04709703936
"97199",4894.28547801318
"97200",5221.66374686767
"97201",5201.32546755686
"97202",4657.6133756175
"97203",4505.23474357557
"97204",4494.27651421272
"97205",4316.39514213444
"97206",4092.50048500702
"97207",4062.05685648687
"97208",4056.19757787742
"97209",3950.25152352492
"97210",3908.07656161124
"97211",4029.28338501401
"97212",4148.24123306146
"97213",4216.11123244377
"97214",4322.4310739696
"97215",4457.49861527714
"97216",4523.81537127172
"97217",4839.16803957422
"97218",5044.08930426693
"97219",5037.287970861
"97220",4820.5659775879
"97221",4642.58698816483
"97222",4703.3508079839
"97223",4683.74138249715
"97224",4663.89680498819
"97225",4775.76694406171
"97226",4712.93163222782
"97227",4608.69105697141
"97228",4787.35938876419
"97229",4985.58381822443
"97230",5104.29390157028
"97231",5126.50344598987
"97232",5361.39242071706
"97233",5647.64485644979
"97234",5978.60188406279
"97235",6355.041154858
"97236",6645.47604524216
"97237",7027.00044383134
"97238",6873.43806590427
"97239",6401.14880029645
"97240",6146.53223327083
"97241",6014.53346124425
"97242",5803.89491719427
"97243",5623.41377482552
"97244",5577.651253528
"97245",5251.38471444397
"97246",5047.72258128127
"97247",4951.80197354108
"97248",5304.45353563113
"97249",5717.47241260015
"97250",4565.06106589772
"97251",4359.18193475938
"97252",4787.79757246987
"97253",4472.01533610138
"97254",4274.9241756207
"97255",4213.31230679875
"97256",4264.63629538659
"97257",4240.53091402607
"97258",4315.71323623236
"97259",4370.07804744967
"97260",4622.7555052944
"97261",4984.16872087648
"97262",5430.92584756055
"97263",5857.70170574386
"97264",6005.40197899859
"97265",6433.94694450936
"97266",6743.01898979779
"97267",6703.03154627681
"97268",6502.75308028179
"97269",6142.73842639329
"97270",5930.73390195376
"97271",5962.2439848327
"97272",6078.24624923201
"97273",6008.09304825798
"97274",6021.2523828119
"97275",5969.61373685171
"97276",6011.62871854726
"97277",6151.84892951847
"97278",6225.31507673749
"97279",6242.36729887778
"97280",6168.04386199891
"97281",6174.68285691433
"97282",6306.37042844852
"97283",6698.10206535866
"97284",7179.0110228539
"97285",7452.55696049067
"97286",7073.93707008746
"97287",6687.43366961697
"97288",6562.81758844582
"97289",6363.68444986161
"97290",6207.17121449748
"97291",5861.4438310684
"97292",5836.34994711086
"97293",5654.26119719074
"97294",5249.45152015965
"97295",5127.35287702015
"97296",5368.13168496499
"97297",5301.00224480415
"97298",4772.73845463965
"97299",4691.7342761435
"97300",4584.38678620189
"97301",4334.38125682613
"97302",3930.79976422398
"97303",3880.90004834791
"97304",4258.22305589511
"97305",4358.16954362892
"97306",4232.27081515474
"97307",4390.64569575963
"97308",4725.6345375799
"97309",5029.57527938279
"97310",5573.89835407684
"97311",5968.78154867853
"97312",6069.78914936959
"97313",6373.11742764597
"97314",6655.02616075049
"97315",6934.22648738123
"97316",6888.86446374727
"97317",6709.06326043672
"97318",6719.04573869761
"97319",6784.40667746175
"97320",6641.26280498713
"97321",6667.82605218756
"97322",6941.28218094508
"97323",6913.29519118889
"97324",6979.867607945
"97325",7218.69477418521
"97326",7121.50328823842
"97327",6770.49689757579
"97328",6631.78873115422
"97329",6964.90867235638
"97330",7049.95910793127
"97331",7123.86826015618
"97332",7435.51630232189
"97333",7871.0523516827
"97334",7528.75395413816
"97335",7045.43610310216
"97336",6829.50343302189
"97337",6695.32186301835
"97338",6561.30042812456
"97339",6247.11183896784
"97340",6143.64260851962
"97341",5794.21311647051
"97342",5381.37779793553
"97343",5345.84207160831
"97344",5668.80389396418
"97345",5635.61630774032
"97346",5117.53576524025
"97347",4875.60612167553
"97348",4867.1085314894
"97349",4731.51793053342
"97350",4570.3760867313
"97351",4571.12847387084
"97352",4474.56659315983
"97353",4428.0659626438
"97354",4537.90281675623
"97355",4759.71624816413
"97356",4942.8044589264
"97357",5137.86621888324
"97358",5749.29025035629
"97359",6403.22612018815
"97360",6512.04630568767
"97361",6840.69832307894
"97362",7214.0684554349
"97363",6976.37352515136
"97364",6740.67119257899
"97365",6376.13478801118
"97366",6251.91538103138
"97367",6123.13780329521
"97368",5684.31412057817
"97369",5726.44447654834
"97370",5965.41150395645
"97371",5937.32826003427
"97372",5973.72074369847
"97373",5996.44423578789
"97374",5559.7203955061
"97375",5577.43264961417
"97376",6062.34540831695
"97377",6372.48275013369
"97378",6616.59401317354
"97379",6979.40861993387
"97380",7338.85553119037
"97381",7674.27292474282
"97382",7456.28557247246
"97383",6954.29535808741
"97384",6753.42123180678
"97385",6706.23829019978
"97386",6440.82300164377
"97387",6207.60217251917
"97388",6074.31697156489
"97389",5744.86315871839
"97390",5426.47709730111
"97391",5190.75905608578
"97392",5534.24275821544
"97393",5622.29047608626
"97394",5118.20194253382
"97395",5060.23878171931
"97396",4933.72013359864
"97397",4742.44302964586
"97398",4666.72369506587
"97399",4658.49507406167
"97400",4602.89776805794
"97401",4555.26840516619
"97402",4663.69899899509
"97403",4743.55993181488
"97404",4966.84258547174
"97405",5265.85994111689
"97406",5670.33355551743
"97407",6261.51072707662
"97408",6467.52927614116
"97409",6844.24213318853
"97410",7056.37636385337
"97411",6902.61598190421
"97412",6623.49376771915
"97413",6378.74659726766
"97414",6339.80285658353
"97415",6190.21642364692
"97416",6084.81621833851
"97417",6293.29055981635
"97418",6344.69878397303
"97419",6306.6570068351
"97420",6368.67817963835
"97421",6240.46010823324
"97422",6189.14872508854
"97423",6507.57260193575
"97424",6790.14398721706
"97425",6802.22304089564
"97426",6902.19691643103
"97427",7206.73435900658
"97428",7546.10312711914
"97429",7734.70918862767
"97430",7595.64658969912
"97431",7241.36591104628
"97432",7086.39795703947
"97433",6796.94983980164
"97434",6542.82450393581
"97435",6309.53561439271
"97436",6011.8212921556
"97437",5635.21584161311
"97438",5320.86415449131
"97439",5220.93003408743
"97440",5438.21493681817
"97441",5401.65617438769
"97442",4933.88154758443
"97443",4793.27412726937
"97444",4722.829442553
"97445",4606.39418458428
